"";"nombre";"region";"provincia";"comuna";"cut_r";"cut_p";"cut";"hogares";"hectareas";"area";"observaciones";"año"
"16";"John Kennedy";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;48;0,85755347;6013,72982133;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"17";"Pezoa Veliz";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;22;0,19421607;1361,46567996;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"18";"Violeta Parra";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;123;10,69814119;74992,42309929;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"19";"Cristo Redentor";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;53;0,86193213;6041,275282775;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"20";"Loma Vista Al Mar";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;47;1,19000035;8344,24058587;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"21";"La Isla";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;17;1,99365228;13989,21172929;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"22";"Mesana Alto";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;128;14,53569819;101880,655339335;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"23";"El Palto- Juan Luis Trejo";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;17;0,94819777;6653,52703265;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"24";"Cousiño San Pedro";"Valparaíso";"Quillota";"Quillota";"05";"055";5501;25;0,9994712;7022,40996772;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2011"
"25";"Pampa Ilusión (Sector Las Torres)";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;195;7,03520155;49298,322399725;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"26";"Sin Nombre 9";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;22;0,84604247;5930,50879226;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"27";"Parcela 11";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;520;43,98216031;308245,095921115;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"28";"Sin Nombre 14";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;12;2,51420469;17618,763024425;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"29";"Sin Nombre 10";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;35;2,6531545;18592,81866594;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"30";"La Ilusión";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;32;1,16438248;8163,38542921;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2011"
"31";"Parcela 15";"Valparaíso";"Valparaíso";"Viña del Mar";"05";"051";5109;257;15,42032031;108110,55322732;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"32";"Ampliación Viento Sur";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;8;0,21667777;1519,90592879;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"33";"La Tortuga";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;35;1,15259562;8084,79341719;"CAMPAMENTO EN CATASTRO NACIONAL 2022";"CATASTRO_2011"
"34";"Sin Nombre 15";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;26;0,87627247;6142,735962695;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"35";"Sin Nombre 13";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;17;0,47516468;3330,950403305;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
"36";"Progreso En La Comunidad";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;39;3,01257872;21125,95539602;"CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE";"CATASTRO_2011"
"37";"Colocolo";"Valparaíso";"Valparaíso";"Valparaíso";"05";"051";5101;26;0,72454122;5078,990132505;"CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES";"CATASTRO_2011"
