OBJECTID_12,OBJECTID,OBJECTID_1,FOLIO,NOMBRE,REGION,CUT_R,PROVINCIA,CUT_P,CUT,COMUNA,AN_CAT,N_HOG,FUENTE,OBS,HECTAREAS,Shape_Leng,Shape_Length,Shape_Area
1208,1208,767,710217,Triangulo Cementerio,Maule,07,Talca,071,7102,Constitución,CATASTRO_2022,8,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.28638018,272.91099122,0.00211877890008999,1.88545115137767e-07
1209,1209,1158,210403,Manco Moreno,Antofagasta,02,Antofagasta,021,2104,Taltal,CATASTRO_2019,25,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,3.11504398,1131.0750834,0.00951517584048786,2.27074620720684e-06
1210,1210,768,710227,Viñales Detrás De Las Letras,Maule,07,Talca,071,7102,Constitución,CATASTRO_2022,13,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,4.25428212,1126.88715082,0.00890754317714495,2.79955672363501e-06
1211,1211,1159,210404,Salvador Allende,Antofagasta,02,Antofagasta,021,2104,Taltal,CATASTRO_2019,21,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,0.94692869,627.18995059,0.00543371212960301,6.9022644786739e-07
1212,1212,769,710214,El Litre,Maule,07,Talca,071,7102,Constitución,CATASTRO_2022,60,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,7.05045301,1749.32041539,0.0147952398092599,4.63530959132457e-06
1213,1213,1160,210405,Tiro Al Blanco II,Antofagasta,02,Antofagasta,021,2104,Taltal,CATASTRO_2019,64,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,4.75781268,1258.88696651,0.0106694598006574,3.46788444146226e-06
1214,1214,770,710229,Gabriela Mistral,Maule,07,Talca,071,7102,Constitución, ,0,MUNICIPALIDAD,NUEVO CAMPAMENTO,0.29074759,211.04911707,0.00169089279348939,1.91394637168118e-07
1215,1215,1161,210406,Vida Nueva,Antofagasta,02,Antofagasta,021,2104,Taltal,CATASTRO_2019,32,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,2.83785421,1481.0385844,0.0126068491820214,2.06858628898471e-06
1216,1216,771,730801,Sector la Aurora,Maule,07,Curicó,073,7308,Teno, ,50,TECHO,NUEVO CAMPAMENTO,9.30558445,3334.55660838,0.0253922589447847,6.16290977324459e-06
1217,1217,1162,210182,Altos Del Cerro,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,23,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022,1.32377988,791.62805209,0.00668006358822303,9.78387461548151e-07
1218,1218,772,710230,Sin nombre - 1,Maule,07,Talca,071,7102,Constitución, ,0,INE,NUEVO CAMPAMENTO NO PRIORIZADO A VALIDAR,0.32298607,379.19477615,0.00324895062705176,2.12643120225335e-07
1219,1219,1163,210181,Dignidad En El Desierto,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,66,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.78231616,1141.61549917,0.0101332426294579,1.31727277758401e-06
1220,1220,773,740802,Villa esperanza,Maule,07,Linares,074,7408,Yerbas Buenas, ,0,INE,NUEVO CAMPAMENTO NO PRIORIZADO A VALIDAR,0.90431967,560.30654432,0.00484501943340187,5.92308360386012e-07
1221,1221,1164,210178,Flor Del Norte (Arian Coni 2),Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,94,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,1.36275995,826.54577669,0.00699328344554477,1.00761273438055e-06
1222,1222,774,740604,San Gerónimo de Alderete,Maule,07,Linares,074,7406,San Javier de Loncomilla, ,25,INE,NUEVO CAMPAMENTO NO PRIORIZADO A VALIDAR,0.21818539,199.2858201,0.00158469876248728,1.43176152431579e-07
1223,1223,1165,210179,Bendiciones De Colores,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,22,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,1.12217265,669.67850291,0.0057664099716713,8.29531950340374e-07
1224,1224,775,730501,El Llano,Maule,07,Curicó,073,7305,Rauco,CATASTRO_2022,10,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE,0.68366851,368.75995424,0.00307109605310982,4.52460444335649e-07
1225,1225,1166,210177,El Cerrito,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,20,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.30186438,307.46090342,0.0026417586327778,2.23179286803592e-07
1226,1226,776,730106,Rio Guaiquillo - Obispo Chavez autodenominado (Puerto Principe),Maule,07,Curicó,073,7301,Curicó, ,200,MUNICIPALIDAD,NUEVO CAMPAMENTO,4.99449887,1036.85642973,0.00877084807904218,3.30139235665503e-06
1227,1227,1167,210176,Meseta Norte Coloso,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,26,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,2.04989865,916.14942553,0.00796087429283376,1.51401155099822e-06
1228,1228,1168,210175,Roca Roja,Antofagasta,02,Antofagasta,021,2101,Antofagasta,CATASTRO_2022,8,MINVU,CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES,0.61887956,426.50964274,0.00356863517683135,4.57133469560662e-07
